Vx	V(q)	V(q_bar)
1.440000000000000e-01	7.187266e-02	1.799998e+00
1.450000000000000e-01	7.238613e-02	1.799998e+00
1.460000000000000e-01	7.289981e-02	1.799998e+00
1.470000000000000e-01	7.341370e-02	1.799998e+00
1.480000000000000e-01	7.392780e-02	1.799998e+00
1.490000000000000e-01	7.444210e-02	1.799998e+00
1.500000000000000e-01	7.495661e-02	1.799998e+00
1.510000000000000e-01	7.547132e-02	1.799998e+00
1.520000000000000e-01	7.598624e-02	1.799998e+00
1.530000000000000e-01	7.650138e-02	1.799998e+00
1.540000000000000e-01	7.701671e-02	1.799998e+00
1.550000000000000e-01	7.753225e-02	1.799998e+00
1.560000000000000e-01	7.804801e-02	1.799998e+00
1.570000000000000e-01	7.856397e-02	1.799998e+00
1.580000000000000e-01	7.908013e-02	1.799998e+00
1.590000000000000e-01	7.959651e-02	1.799997e+00
1.600000000000000e-01	8.011310e-02	1.799997e+00
1.610000000000000e-01	8.062989e-02	1.799997e+00
1.620000000000000e-01	8.114690e-02	1.799997e+00
1.630000000000000e-01	8.166411e-02	1.799997e+00
1.640000000000000e-01	8.218153e-02	1.799997e+00
1.650000000000000e-01	8.269916e-02	1.799997e+00
1.660000000000000e-01	8.321700e-02	1.799997e+00
1.670000000000000e-01	8.373505e-02	1.799997e+00
1.680000000000000e-01	8.425330e-02	1.799997e+00
1.690000000000000e-01	8.477177e-02	1.799997e+00
1.700000000000000e-01	8.529045e-02	1.799997e+00
1.710000000000000e-01	8.580934e-02	1.799997e+00
1.720000000000000e-01	8.632845e-02	1.799997e+00
1.730000000000000e-01	8.684776e-02	1.799997e+00
1.740000000000000e-01	8.736728e-02	1.799997e+00
1.750000000000000e-01	8.788701e-02	1.799997e+00
1.760000000000000e-01	8.840696e-02	1.799997e+00
1.770000000000000e-01	8.892711e-02	1.799997e+00
1.780000000000000e-01	8.944748e-02	1.799997e+00
1.790000000000000e-01	8.996806e-02	1.799997e+00
1.800000000000000e-01	9.048885e-02	1.799997e+00
1.810000000000000e-01	9.100986e-02	1.799997e+00
1.820000000000000e-01	9.153107e-02	1.799996e+00
1.830000000000000e-01	9.205250e-02	1.799996e+00
1.840000000000000e-01	9.257414e-02	1.799996e+00
1.850000000000000e-01	9.309600e-02	1.799996e+00
1.860000000000000e-01	9.361806e-02	1.799996e+00
1.870000000000000e-01	9.414034e-02	1.799996e+00
1.880000000000000e-01	9.466284e-02	1.799996e+00
